time	PKG-0	Dram-0	PKG-1	Dram-1	
154.5	85.69	15.70	93.07	17.70	
155.0	86.40	16.14	93.56	18.19	
155.5	89.31	17.58	96.91	19.88	
156.0	87.93	16.86	95.16	18.82	
156.5	89.96	17.31	97.45	20.00	
157.0	88.01	16.83	95.24	18.88	
157.5	89.54	17.47	95.63	19.77	
158.0	85.10	15.76	92.35	17.83	
158.5	90.24	17.36	97.75	19.94	
159.0	82.12	15.89	89.30	18.14	
159.5	88.06	17.11	95.45	19.07	
160.0	87.85	16.87	95.25	19.14	
160.5	89.55	16.95	96.90	19.00	
161.0	88.05	17.04	95.53	19.30	
161.5	87.79	16.84	95.31	18.98	
162.0	89.02	17.27	95.48	19.62	
162.5	85.77	15.54	92.83	17.64	
163.0	89.39	17.45	97.02	19.63	
163.5	83.07	14.78	90.08	16.88	
164.0	89.49	17.37	97.04	19.38	
164.5	87.43	16.82	95.06	19.09	
165.0	88.59	16.54	95.89	18.51	
165.5	80.96	14.75	87.62	16.60	
166.0	84.68	15.29	91.55	17.01	
166.5	79.13	13.83	86.27	15.52	
167.0	82.18	15.32	88.26	16.57	
167.5	86.95	16.61	94.37	18.50	
168.0	78.23	14.61	84.19	15.58	
168.5	76.45	14.07	82.22	15.09	
169.0	75.84	12.47	81.22	13.61	
169.5	90.16	18.48	97.24	19.40	
170.0	86.50	16.23	93.48	17.14	
170.5	87.21	17.14	93.85	18.30	
171.0	83.12	15.95	89.56	16.87	
171.5	75.11	13.07	80.70	13.61	
172.0	90.47	18.47	97.37	19.17	
172.5	86.35	16.75	93.09	17.27	
173.0	90.59	18.92	97.78	19.50	
173.5	84.54	15.78	90.70	16.27	
174.0	84.81	16.27	91.01	16.83	
174.5	87.08	17.09	93.60	17.65	
175.0	88.12	17.32	94.86	17.93	
175.5	88.72	17.90	95.55	18.40	
176.0	78.24	12.99	83.89	13.70	
176.5	76.07	12.15	81.58	12.81	
177.0	89.44	18.51	96.12	19.03	
177.5	86.17	16.12	92.66	16.56	
178.0	88.20	17.74	94.84	18.25	
178.5	87.11	16.80	93.78	17.49	
179.0	86.75	17.82	93.13	18.37	
179.5	86.47	17.46	92.92	18.30	
180.0	83.35	15.55	89.35	16.15	
180.5	86.75	17.51	93.29	17.98	
181.0	76.85	12.25	82.26	12.95	
181.5	85.49	17.45	92.06	18.26	
182.0	85.98	17.44	92.35	18.08	
182.5	74.90	11.44	81.22	12.11	
183.0	90.72	17.90	97.01	18.69	
183.5	81.56	14.88	87.48	15.55	
184.0	80.15	14.31	86.05	15.01	
184.5	85.28	16.34	91.47	16.74	
185.0	76.17	13.53	81.70	14.12	
185.5	86.53	16.18	92.97	16.75	
186.0	88.00	17.60	94.57	18.19	
186.5	75.32	11.56	80.73	12.01	
187.0	88.56	17.65	95.44	18.52	
187.5	84.40	15.85	90.62	16.14	
188.0	75.68	12.02	80.79	12.71	
188.5	77.03	14.12	82.62	15.02	
189.0	85.40	16.66	92.09	17.08	
189.5	79.75	14.29	85.66	14.99	
190.0	84.27	16.35	90.28	16.61	
190.5	45.30	5.29	48.14	5.37	
191.0	74.04	13.15	78.61	13.71	
191.5	79.41	12.87	85.01	13.56	
192.0	78.45	14.00	83.98	14.44	
192.5	77.46	13.42	83.20	14.15	
193.0	71.31	9.88	76.04	10.35	
193.5	82.51	15.03	88.32	15.75	
194.0	73.77	11.06	78.85	11.42	
194.5	77.88	13.50	83.33	14.15	
195.0	76.96	13.09	82.19	13.59	
195.5	70.03	11.29	75.04	12.08	
196.0	78.72	14.16	83.95	14.55	
196.5	82.38	14.69	88.22	15.36	
197.0	74.65	11.93	79.86	12.73	
197.5	79.34	14.10	84.70	14.64	
198.0	72.75	11.61	77.71	12.17	
198.5	67.62	9.15	72.09	9.75	
199.0	77.89	12.81	83.23	13.50	
199.5	78.04	13.05	83.65	13.52	
200.0	73.53	12.28	78.56	12.91	
200.5	64.77	8.90	71.37	9.38	
201.0	79.07	13.25	84.77	13.67	
201.5	79.71	13.44	85.33	13.92	
202.0	78.08	13.95	83.57	14.68	
202.5	81.19	14.11	86.74	14.91	
203.0	80.98	14.06	86.81	14.66	
203.5	76.81	13.29	82.24	13.70	
204.0	84.37	16.25	90.69	17.28	
204.5	78.64	13.29	84.61	13.60	
205.0	49.33	8.88	54.83	9.01	
205.5	72.16	9.91	77.28	10.82	
206.0	80.92	15.18	87.23	16.05	
206.5	81.34	14.70	87.15	15.19	
207.0	80.14	14.45	85.70	15.17	
207.5	80.20	14.01	85.73	14.83	
208.0	88.12	17.95	94.52	18.33	
208.5	65.89	9.56	70.53	10.50	
209.0	69.66	11.54	75.98	12.05	
209.5	83.25	16.02	89.06	16.58	
210.0	78.62	13.51	84.21	14.03	
210.5	73.51	10.82	78.36	11.23	
211.0	78.87	13.91	84.64	14.57	
211.5	73.42	12.32	78.43	12.73	
212.0	80.49	14.44	86.40	14.81	
212.5	80.76	14.34	86.11	15.04	
213.0	83.54	16.61	89.51	16.81	
213.5	69.81	11.23	74.77	11.98	
214.0	77.13	12.43	82.45	12.76	
214.5	84.91	16.05	90.90	16.51	
215.0	77.47	12.63	83.07	13.33	
215.5	67.07	8.63	70.94	9.07	
216.0	80.93	13.64	86.59	14.45	
216.5	78.75	13.28	84.03	13.80	
217.0	69.72	11.95	76.18	12.66	
217.5	70.09	10.55	75.42	11.28	
218.0	76.69	11.97	82.07	12.85	
218.5	75.43	14.80	81.09	15.40	
219.0	78.37	13.19	83.90	13.63	
219.5	80.54	14.19	86.20	14.56	
220.0	81.14	15.21	86.66	15.88	
220.5	76.12	12.14	81.50	12.58	
221.0	79.45	12.84	84.97	13.74	
221.5	80.93	14.84	86.61	15.25	
222.0	78.05	13.45	83.83	14.02	
222.5	66.67	8.70	71.15	9.18	
223.0	77.48	13.58	83.19	14.23	
223.5	81.24	14.60	86.83	15.20	
224.0	76.03	13.94	81.48	14.62	
224.5	77.69	12.52	83.08	13.05	
225.0	67.71	9.15	73.11	9.77	
225.5	77.50	14.01	83.32	14.86	
226.0	76.59	12.43	81.91	12.89	
226.5	65.34	9.04	69.77	9.97	
227.0	75.36	12.31	81.09	12.84	
227.5	68.88	10.41	73.89	11.41	
228.0	78.45	14.68	83.92	15.28	
228.5	73.62	10.19	78.33	10.89	
229.0	76.99	13.85	83.14	14.23	
229.5	83.37	15.29	89.67	16.30	
230.0	73.77	12.00	78.67	12.58	
230.5	68.63	8.39	73.78	9.12	
231.0	75.57	12.21	80.94	13.07	
231.5	79.44	14.91	84.76	15.52	
232.0	80.67	14.50	86.32	15.41	
232.5	89.86	18.47	96.36	19.20	
233.0	81.43	15.10	87.11	15.98	
233.5	81.93	14.52	88.22	15.16	
234.0	74.77	12.64	80.01	13.40	
234.5	85.83	17.08	91.91	17.70	
235.0	80.46	14.06	86.61	14.92	
235.5	83.52	15.68	89.37	16.38	
236.0	85.78	16.85	92.19	17.47	
236.5	67.05	9.17	71.74	10.15	
237.0	70.80	11.26	75.32	12.11	
237.5	85.81	16.74	91.86	17.12	
238.0	80.32	14.35	86.03	15.22	
238.5	85.88	16.43	92.37	16.92	
239.0	87.80	17.33	94.26	18.08	
239.5	89.42	17.97	96.25	18.70	
240.0	85.72	16.46	91.97	17.00	
240.5	85.55	16.21	91.88	16.87	
241.0	90.64	18.76	97.15	19.24	
241.5	83.38	15.21	89.51	15.82	
242.0	89.30	17.82	95.84	18.60	
242.5	89.19	18.16	95.86	19.00	
243.0	83.25	14.84	89.17	15.41	
243.5	86.77	18.15	93.39	19.10	
244.0	80.85	14.35	86.73	14.86	
244.5	85.38	16.42	91.76	17.24	
245.0	86.91	17.10	93.44	17.62	
245.5	87.24	16.08	93.47	17.07	
246.0	87.49	17.52	93.98	17.77	
246.5	83.73	14.84	89.94	15.75	
247.0	88.48	17.19	95.05	17.77	
247.5	81.90	15.60	87.89	16.25	
248.0	81.78	14.24	87.32	14.58	
248.5	86.19	16.07	92.43	16.65	
249.0	81.73	15.16	87.48	15.79	
249.5	83.58	14.96	89.93	15.60	
250.0	84.08	15.68	90.00	16.52	
250.5	84.63	15.93	91.13	16.48	
251.0	75.33	11.01	80.45	11.76	
251.5	72.33	11.57	78.13	11.84	
252.0	72.71	11.94	78.31	12.74	
252.5	79.20	13.22	84.93	13.84	
253.0	74.07	11.77	79.41	12.53	
253.5	75.33	12.47	81.16	13.02	
254.0	70.07	10.02	74.79	10.64	
254.5	60.60	10.26	71.55	11.40	
255.0	71.24	13.47	85.17	15.09	
255.5	77.53	15.36	91.82	16.68	
256.0	84.45	15.57	91.86	16.61	
256.5	86.01	16.84	92.27	17.25	
257.0	86.62	16.50	92.87	17.33	
257.5	87.60	16.92	94.18	17.76	
258.0	88.13	18.97	94.63	19.85	
258.5	87.57	16.29	94.13	17.00	
259.0	88.13	17.55	94.98	18.31	
259.5	86.32	16.21	92.75	17.17	
260.0	87.10	17.81	93.34	18.52	
260.5	82.85	14.84	89.07	15.78	
261.0	88.36	18.16	95.01	18.70	
261.5	86.75	17.10	93.36	17.75	
262.0	88.50	17.79	95.53	18.18	
262.5	89.11	17.87	95.91	18.77	
263.0	82.48	15.09	88.57	15.62	
263.5	91.21	18.65	97.90	19.75	
264.0	87.84	17.53	94.72	18.04	
264.5	90.96	18.72	97.89	19.58	
265.0	78.80	15.05	84.56	15.74	
265.5	87.74	17.19	94.25	18.06	
266.0	83.55	16.02	89.95	16.77	
266.5	86.36	17.15	92.59	18.13	
267.0	81.13	14.21	87.15	14.89	
267.5	85.49	16.40	91.90	17.02	
268.0	83.39	14.77	89.57	15.68	
268.5	77.83	14.59	83.60	15.24	
269.0	87.37	16.88	94.13	17.85	
269.5	89.93	18.55	96.83	18.96	
270.0	85.98	16.12	92.42	16.90	
270.5	81.87	14.98	87.63	15.31	
271.0	85.67	16.29	93.07	17.12	
271.5	78.91	12.99	84.83	13.26	
272.0	79.95	14.23	86.04	15.11	
272.5	84.26	15.99	90.76	16.34	
273.0	85.25	16.05	91.84	16.98	
273.5	86.44	16.56	92.44	16.95	
274.0	86.63	16.78	93.07	17.53	
274.5	83.23	15.03	89.44	15.62	
275.0	86.38	17.13	92.77	17.76	
275.5	87.48	17.00	93.96	17.52	
276.0	86.04	16.50	92.56	17.09	
276.5	87.30	16.91	93.51	17.62	
277.0	82.05	16.00	88.41	16.55	
277.5	86.48	16.59	92.81	17.45	
278.0	82.40	15.54	88.26	16.10	
278.5	86.50	16.38	92.89	17.24	
279.0	85.96	16.53	91.98	17.07	
279.5	87.03	16.68	93.37	17.40	
280.0	85.77	16.51	92.21	17.10	
280.5	87.82	17.02	93.85	17.93	
281.0	85.82	16.40	92.21	16.76	
281.5	91.39	19.25	98.33	20.01	
282.0	86.46	16.75	93.23	17.58	
282.5	90.09	18.46	97.07	19.29	
283.0	89.85	18.33	96.64	19.09	
283.5	85.27	17.59	91.46	18.12	
284.0	89.93	18.87	96.88	19.68	
284.5	88.93	17.62	95.54	18.28	
285.0	83.59	17.05	90.08	17.98	
285.5	86.93	16.91	93.62	17.30	
286.0	89.62	18.58	96.32	19.37	
286.5	87.51	17.44	94.29	17.77	
287.0	90.99	18.80	97.95	19.75	
287.5	86.53	16.90	93.24	17.29	
288.0	90.74	18.63	97.62	19.38	
288.5	85.29	17.70	91.96	18.25	
289.0	89.70	18.06	96.54	18.86	
289.5	89.48	18.76	96.37	19.16	
290.0	82.26	16.40	88.24	17.35	
290.5	89.03	18.11	95.80	18.39	
291.0	86.94	17.26	93.49	18.03	
291.5	89.71	18.43	96.86	19.24	
292.0	88.45	18.18	95.35	18.83	
292.5	90.87	18.58	97.79	19.36	
293.0	84.67	15.88	91.11	16.45	
293.5	91.57	18.96	98.59	19.97	
294.0	87.05	17.00	93.60	17.42	
294.5	89.02	17.94	95.90	19.22	
295.0	86.95	17.79	93.56	17.91	
295.5	89.93	17.54	96.75	18.67	
296.0	88.96	18.65	96.01	19.14	
296.5	82.52	14.83	88.63	15.71	
297.0	91.08	19.03	97.99	19.49	
297.5	89.57	18.14	96.59	19.09	
298.0	91.43	19.37	98.58	19.72	
298.5	88.02	17.36	94.66	18.16	
299.0	91.43	19.05	98.33	19.56	
299.5	74.57	12.38	80.13	12.90	
300.0	88.64	17.33	95.63	18.20	
300.5	90.17	18.85	97.13	19.30	
301.0	86.67	17.26	93.14	18.17	
301.5	86.66	16.44	93.00	16.85	
302.0	88.16	18.05	94.71	18.90	
302.5	91.32	18.94	98.22	19.34	
303.0	85.13	16.13	91.57	16.96	
303.5	87.34	17.25	94.15	17.53	
304.0	88.35	17.57	95.00	18.36	
304.5	90.27	18.43	97.00	18.83	
305.0	89.56	18.77	96.61	19.71	
305.5	88.90	17.48	95.52	18.14	
306.0	89.70	18.76	96.61	19.39	
306.5	86.04	16.84	92.55	17.37	
307.0	89.27	18.23	96.69	18.87	
307.5	80.81	14.93	86.77	15.91	
308.0	91.30	19.22	98.00	19.57	
308.5	85.44	16.10	91.82	16.86	
309.0	90.63	18.66	97.51	19.24	
309.5	88.45	17.62	95.34	18.43	
310.0	89.59	17.78	96.44	18.24	
310.5	88.29	18.26	94.82	19.24	
311.0	86.42	16.44	92.64	16.87	
311.5	88.28	18.04	95.08	19.03	
312.0	83.58	15.57	89.55	15.91	
312.5	88.45	18.32	95.23	19.23	
313.0	83.50	15.55	89.60	15.85	
313.5	90.40	18.45	97.31	19.32	
314.0	87.25	17.94	94.98	18.46	
314.5	82.34	14.47	89.02	15.26	
315.0	85.03	16.62	91.06	17.20	
315.5	82.10	15.06	88.45	15.94	
316.0	76.61	13.45	82.51	14.17	
316.5	86.79	17.13	93.22	17.65	
317.0	86.19	16.29	92.92	17.41	
317.5	84.84	15.64	91.19	16.34	
318.0	55.82	8.46	61.67	9.37	
318.5	78.86	14.11	84.37	14.67	
319.0	74.88	12.50	80.83	13.55	
319.5	83.18	15.53	89.85	16.55	
320.0	79.81	12.66	85.84	13.62	
320.5	76.39	14.14	82.72	15.14	
321.0	81.64	14.00	88.32	15.79	
321.5	86.94	16.79	93.42	17.57	
322.0	77.83	13.32	83.75	14.62	
322.5	81.31	14.29	88.27	15.59	
323.0	87.26	16.52	94.02	17.45	
323.5	77.63	13.41	83.17	14.53	
324.0	70.88	10.90	75.97	12.14	
324.5	68.71	9.47	75.50	10.41	
325.0	71.31	12.23	76.21	13.37	
325.5	83.69	15.33	89.71	17.28	
326.0	44.09	4.46	49.88	5.65	
326.5	76.73	12.32	82.82	14.32	
327.0	79.68	14.37	86.29	15.67	
327.5	83.28	14.93	90.17	16.92	
328.0	80.45	13.64	87.45	15.31	
328.5	70.12	9.85	75.49	11.36	
329.0	75.07	12.24	81.16	13.91	
329.5	72.68	11.40	78.85	13.47	
330.0	70.24	10.90	75.90	12.30	
