rhs       -----------start-------------
CPU7  raw=43 ena=219544482 run=135067902 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU7  raw=37731 ena=219535639 run=135059479 ratio=0.00 hsw_ep::ICACHE:misses
CPU7  raw=554325 ena=219529472 run=152934841 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU7  raw=34863054848 ena=220966513 run=220966513 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU7  raw=9442557952 ena=220966450 run=220966450 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU7  raw=5645045 ena=219521957 run=151928602 ratio=0.00 cycles
CPU7  raw=541573 ena=219514876 run=151918829 ratio=0.00 instructions
CPU8  raw=1097538 ena=218742039 run=18446744073571547402 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU8  raw=1100034 ena=218880291 run=18446744073571457644 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU8  raw=506732 ena=218744175 run=18446744073570565496 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU8  raw=508409 ena=218882327 run=18446744073570472597 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU8  raw=5754579 ena=219533255 run=151972281 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU8  raw=468278 ena=219530220 run=151986808 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU8  raw=4126049 ena=219553788 run=152012741 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU8  raw=8009 ena=219554827 run=152039483 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU8  raw=4718239 ena=219551572 run=152039127 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU8  raw=1194 ena=219548233 run=152026752 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU8  raw=13 ena=219543910 run=152034262 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU8  raw=1198 ena=219539016 run=152019511 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU8  raw=13 ena=219531494 run=135073419 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU8  raw=39141 ena=219523512 run=135064893 ratio=0.00 hsw_ep::ICACHE:misses
CPU8  raw=553535 ena=219517179 run=152929604 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
