iter 1
t_rhs     -----------start-------------
CPU8  raw=383 ena=5591954 run=4040406 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU8  raw=119676 ena=5587847 run=5028926 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU8  raw=50 ena=5585193 run=5585193 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU8  raw=3 ena=5582519 run=5582519 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU8  raw=46 ena=5579672 run=5579672 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU8  raw=2 ena=5576664 run=4571956 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU8  raw=371 ena=5573519 run=3581479 ratio=0.00 hsw_ep::ICACHE:misses
CPU8  raw=53099 ena=5571704 run=4577424 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU8  raw=992477184 ena=5586506 run=5586506 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU8  raw=181862400 ena=5586590 run=5586590 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU8  raw=151249 ena=5569625 run=2600890 ratio=0.00 cycles
CPU8  raw=43113 ena=5567303 run=1591255 ratio=0.00 instructions
CPU9  raw=0 ena=5520327 run=18446744073695275710 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU9  raw=0 ena=5525270 run=18446744073695277772 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU9  raw=0 ena=5521740 run=18446744073695279618 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU9  raw=0 ena=5526801 run=18446744073695280435 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU9  raw=129697 ena=5582330 run=1583756 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU9  raw=5278 ena=5579528 run=2047245 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU9  raw=75542 ena=5575384 run=3037747 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU9  raw=387 ena=5571211 run=4044991 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU9  raw=119660 ena=5566795 run=5033750 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU9  raw=59 ena=5563879 run=5563879 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU9  raw=29 ena=5561141 run=5561141 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU9  raw=57 ena=5554560 run=5554560 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU9  raw=24 ena=5550960 run=4546015 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU9  raw=381 ena=5547841 run=3555271 ratio=0.00 hsw_ep::ICACHE:misses
CPU9  raw=53076 ena=5546013 run=4551433 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU9  raw=992477184 ena=5561190 run=5561190 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU9  raw=181862400 ena=5561234 run=5561234 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU9  raw=150752 ena=5544126 run=2574973 ratio=0.00 cycles
CPU9  raw=43083 ena=5541947 run=1565807 ratio=0.00 instructions
CPU10  raw=0 ena=5495374 run=18446744073696080750 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU10  raw=0 ena=5500380 run=18446744073696082755 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU10  raw=0 ena=5496672 run=18446744073696085436 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU10  raw=0 ena=5501650 run=18446744073696086487 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU10  raw=128054 ena=5558088 run=1557470 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU10  raw=5114 ena=5555522 run=2041426 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU10  raw=72525 ena=5551867 run=3032855 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU10  raw=379 ena=5548043 run=4040507 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU10  raw=118063 ena=5544158 run=5030539 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU10  raw=67 ena=5541463 run=5541463 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU10  raw=2 ena=5538960 run=5538960 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU10  raw=65 ena=5536010 run=5536010 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU10  raw=1 ena=5539233 run=4534764 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU10  raw=397 ena=5535866 run=3543723 ratio=0.00 hsw_ep::ICACHE:misses
CPU10  raw=53582 ena=5533854 run=4538904 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU10  raw=992477184 ena=5548183 run=5548183 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU10  raw=181862400 ena=5548115 run=5548115 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU10  raw=150609 ena=5531779 run=2562509 ratio=0.00 cycles
CPU10  raw=43377 ena=5529210 run=1552913 ratio=0.00 instructions
CPU11  raw=0 ena=5481739 run=18446744073696893772 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU11  raw=0 ena=5486789 run=18446744073696895527 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU11  raw=0 ena=5483119 run=18446744073696896668 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU11  raw=0 ena=5488105 run=18446744073696897837 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU11  raw=131487 ena=5539962 run=1544381 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU11  raw=5315 ena=5537138 run=2056547 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU11  raw=77530 ena=5533176 run=3046206 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU11  raw=398 ena=5529233 run=4054705 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU11  raw=121792 ena=5525140 run=5041539 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU11  raw=109 ena=5522541 run=5522541 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU11  raw=33 ena=5519619 run=5519619 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU11  raw=109 ena=5501759 run=5501759 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU11  raw=25 ena=5498406 run=4494014 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU11  raw=381 ena=5495419 run=3504362 ratio=0.00 hsw_ep::ICACHE:misses
CPU11  raw=55608 ena=5493183 run=4499786 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU11  raw=818151424 ena=5512978 run=5512978 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU11  raw=158662656 ena=5512430 run=5512430 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU11  raw=155655 ena=5490402 run=2524636 ratio=0.00 cycles
CPU11  raw=43871 ena=5488123 run=1514215 ratio=0.00 instructions
CPU12  raw=267 ena=5431041 run=1404264 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
