ep        -----------start-------------
CPU9  raw=4404775 ena=41654375354 run=28839190183 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU9  raw=18547 ena=41654370520 run=28838844841 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU9  raw=4403865 ena=41654365223 run=28838583774 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU9  raw=28155 ena=41654359485 run=25633955848 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU9  raw=2724549 ena=41654350859 run=25631547551 ratio=0.00 hsw_ep::ICACHE:misses
CPU9  raw=39843909880 ena=41654344797 run=28836507646 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU9  raw=7255307845632 ena=41841840397 run=41841840397 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU9  raw=973716324352 ena=41841839613 run=41841839613 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU9  raw=34106868180 ena=41654337465 run=28834032006 ratio=0.00 cycles
CPU9  raw=39839662571 ena=41654331112 run=28834294525 ratio=0.00 instructions
CPU10  raw=4747189 ena=41233271412 run=18446744051346903129 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU10  raw=4264821 ena=41263061628 run=18446744051326574603 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU10  raw=4014749 ena=41233274082 run=18446744051344757256 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU10  raw=3572211 ena=41263064270 run=18446744051325685697 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU10  raw=34139385880 ena=41650593078 run=28832000522 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU10  raw=2627543935 ena=41650588724 run=28834822316 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU10  raw=74096180263 ena=41650585184 run=28837189482 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU10  raw=1421646 ena=41650581783 run=28837612961 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU10  raw=46965860631 ena=41650578031 run=28837530753 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU10  raw=4472650 ena=41650572621 run=28837155894 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU10  raw=21249 ena=41650569047 run=28836413877 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU10  raw=4474245 ena=41650564558 run=28836056444 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU10  raw=19334 ena=41650559664 run=25631678825 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU10  raw=2836352 ena=41650552911 run=25629183135 ratio=0.00 hsw_ep::ICACHE:misses
CPU10  raw=39841833656 ena=41650547537 run=28833987902 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU10  raw=7255460151296 ena=41841849410 run=41841849410 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU10  raw=973739655168 ena=41841848693 run=41841848693 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU10  raw=34119789994 ena=41650541746 run=28831140585 ratio=0.00 cycles
CPU10  raw=39841200816 ena=41650535829 run=28830898178 ratio=0.00 instructions
CPU11  raw=4804519 ena=41233215132 run=18446744051344572470 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU11  raw=4316287 ena=41263005502 run=18446744051326875680 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU11  raw=4023060 ena=41233218448 run=18446744051340957028 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU11  raw=3583670 ena=41263009187 run=18446744051326042548 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU11  raw=34123891518 ena=41555700793 run=28763194517 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU11  raw=2626207171 ena=41555698114 run=28767645887 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU11  raw=74098861256 ena=41555695177 run=28769456893 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU11  raw=1409263 ena=41555691779 run=28769426516 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
