ep        -----------start-------------
CPU10  raw=1025207035 ena=15703329390 run=10869734569 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU10  raw=43190777359 ena=15703325208 run=10871115501 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU10  raw=515930 ena=15703321887 run=10871992441 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU10  raw=27325752864 ena=15703319171 run=10872748537 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU10  raw=31796 ena=15703316280 run=10873391246 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU10  raw=8569 ena=15703313138 run=10873040613 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU10  raw=31657 ena=15703310651 run=10872958683 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU10  raw=9776 ena=15703307641 run=9664721947 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU10  raw=1268073 ena=15703304319 run=9663538445 ratio=0.00 hsw_ep::ICACHE:misses
CPU10  raw=23228190321 ena=15703302256 run=10872185610 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU10  raw=3927166681088 ena=15754367114 run=15754367114 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU10  raw=318615126016 ena=15754366665 run=15754366665 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU10  raw=19826086581 ena=15703299058 run=10870035287 ratio=0.00 cycles
CPU10  raw=23234738087 ena=15703296539 run=10869121962 ratio=0.00 instructions
CPU11  raw=412270 ena=15592034937 run=18446744065237384839 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU11  raw=203452 ena=15602072008 run=18446744065230957740 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU11  raw=224680 ena=15592037948 run=18446744065235853770 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU11  raw=57361 ena=15602074135 run=18446744065229375481 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU11  raw=19834255844 ena=15646024735 run=10828134396 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU11  raw=1024478802 ena=15646021991 run=10830527960 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU11  raw=43192517816 ena=15646018275 run=10832846542 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU11  raw=521885 ena=15646013960 run=10834018978 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU11  raw=27324131056 ena=15646010407 run=10834259608 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU11  raw=47345 ena=15646007704 run=10833870324 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU11  raw=9950 ena=15646004760 run=10833204893 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU11  raw=47519 ena=15646003246 run=10832726843 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU11  raw=10488 ena=15646000131 run=9629653414 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU11  raw=1204941 ena=15645997080 run=9627651261 ratio=0.00 hsw_ep::ICACHE:misses
CPU11  raw=23225304890 ena=15645995524 run=10832044458 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU11  raw=3926976888832 ena=15754335186 run=15754335186 ratio=0.00 rapl::RAPL_ENERGY_PKG
